(u737, p6):(u2, p6, 0)
(u815, p6):(u2, p6, 1)
(u170, p6):(u2, p6, 2)
(u931, p6):(u2, p6, 3)
(u35, p6):(u2, p6, 4)
(u978, p6):(u2, p6, 5)
(u879, p6):(u2, p6, 6)
(u118, p6):(u2, p6, 7)
(u522, p6):(u2, p6, 8)
(u75, p6):(u2, p6, 9)
(u693, p6):(u2, p6, 10)
(u161, p6):(u2, p6, 11)
(u141, p6):(u2, p6, 12)
(u465, p6):(u2, p6, 13)
(u141, p5):(u2, p5, 14)
(u465, p5):(u2, p5, 15)
(u35, p5):(u2, p5, 16)
(u737, p5):(u2, p5, 17)
(u815, p5):(u2, p5, 18)
(u978, p5):(u2, p5, 19)
(u170, p5):(u2, p5, 20)
(u931, p5):(u2, p5, 21)
(u879, p5):(u2, p5, 22)
(u118, p5):(u2, p5, 23)
(u522, p5):(u2, p5, 24)
(u75, p5):(u2, p5, 25)
(u693, p5):(u2, p5, 26)
(u161, p5):(u2, p5, 27)
(u113, p8):(u3, p7, 28)
(u229, p9):(u3, p7, 29)
(u217, p8):(u3, p7, 30)
(u3, p9):(u3, p7, 31)
(u947, p9):(u3, p7, 32)
(u203, p8):(u3, p7, 33)
(u229, p7):(u3, p7, 34)
(u947, p7):(u3, p7, 35)
(u229, p8):(u3, p7, 36)
(u3, p8):(u3, p7, 37)
(u947, p8):(u3, p7, 38)
(u203, p9):(u3, p7, 39)
(u217, p9):(u3, p7, 40)
(u113, p9):(u3, p7, 41)
(u113, p7):(u3, p7, 42)
(u203, p7):(u3, p7, 43)
(u217, p7):(u3, p7, 44)
(u3, p7):(-1, -1, 45)
(u4, p20):(u4, p11, 46)
(u4, p13):(u4, p15, 47)
(u4, p12):(u4, p15, 48)
(u4, p14):(u4, p15, 49)
(u4, p21):(u4, p15, 50)
(u4, p18):(u4, p15, 51)
(u4, p19):(u4, p16, 52)
(u1183, p23):(u5, p23, 53)
(u1183, p24):(u5, p24, 54)
(u1183, p22):(u5, p22, 55)
(u349, p26):(u6, p26, 56)
(u485, p26):(u6, p26, 57)
(u1003, p26):(u6, p26, 58)
(u294, p26):(u6, p26, 59)
(u282, p26):(u6, p26, 60)
(u853, p26):(u6, p26, 61)
(u1032, p26):(u6, p26, 62)
(u980, p26):(u6, p26, 63)
(u710, p26):(u6, p26, 64)
(u254, p26):(u6, p26, 65)
(u392, p26):(u6, p26, 66)
(u993, p26):(u6, p26, 67)
(u750, p26):(u6, p26, 68)
(u865, p26):(u6, p26, 69)
(u124, p26):(u6, p26, 70)
(u1170, p26):(u6, p26, 71)
(u865, p25):(u6, p25, 72)
(u124, p25):(u6, p25, 73)
(u1170, p25):(u6, p25, 74)
(u349, p25):(u6, p25, 75)
(u485, p25):(u6, p25, 76)
(u1003, p25):(u6, p25, 77)
(u294, p25):(u6, p25, 78)
(u282, p25):(u6, p25, 79)
(u993, p25):(u6, p25, 80)
(u1032, p25):(u6, p25, 81)
(u853, p25):(u6, p25, 82)
(u980, p25):(u6, p25, 83)
(u710, p25):(u6, p25, 84)
(u750, p25):(u6, p25, 85)
(u254, p25):(u6, p25, 86)
(u392, p25):(u6, p25, 87)
(u889, p31):(u8, p31, 88)
(u941, p31):(u8, p31, 89)
(u850, p31):(u8, p31, 90)
(u140, p31):(u8, p31, 91)
(u553, p31):(u8, p31, 92)
(u220, p31):(u8, p31, 93)
(u962, p31):(u8, p31, 94)
(u246, p31):(u8, p31, 95)
(u296, p31):(u8, p31, 96)
(u257, p31):(u8, p31, 97)
(u311, p31):(u8, p31, 98)
(u822, p31):(u8, p31, 99)
(u988, p31):(u8, p31, 100)
(u476, p31):(u8, p31, 101)
(u526, p31):(u8, p31, 102)
(u17, p31):(u8, p31, 103)
(u17, p30):(u8, p30, 104)
(u246, p30):(u8, p30, 105)
(u889, p30):(u8, p30, 106)
(u296, p30):(u8, p30, 107)
(u257, p30):(u8, p30, 108)
(u311, p30):(u8, p30, 109)
(u941, p30):(u8, p30, 110)
(u988, p30):(u8, p30, 111)
(u822, p30):(u8, p30, 112)
(u850, p30):(u8, p30, 113)
(u476, p30):(u8, p30, 114)
(u553, p30):(u8, p30, 115)
(u140, p30):(u8, p30, 116)
(u220, p30):(u8, p30, 117)
(u962, p30):(u8, p30, 118)
(u526, p30):(u8, p30, 119)
(u274, p32):(u9, p32, 120)
(u243, p32):(u9, p32, 121)
(u326, p32):(u9, p32, 122)
(u613, p32):(u9, p32, 123)
(u67, p32):(u9, p32, 124)
(u18, p32):(u9, p32, 125)
(u734, p32):(u9, p32, 126)
(u1120, p32):(u9, p32, 127)
(u651, p32):(u9, p32, 128)
(u215, p32):(u9, p32, 129)
(u882, p32):(u9, p32, 130)
(u847, p32):(u9, p32, 131)
(u442, p32):(u9, p32, 132)
(u602, p32):(u9, p32, 133)
(u360, p32):(u9, p32, 134)
(u602, p33):(u9, p33, 135)
(u734, p33):(u9, p33, 136)
(u442, p33):(u9, p33, 137)
(u360, p33):(u9, p33, 138)
(u1120, p33):(u9, p33, 139)
(u274, p33):(u9, p33, 140)
(u651, p33):(u9, p33, 141)
(u326, p33):(u9, p33, 142)
(u215, p33):(u9, p33, 143)
(u243, p33):(u9, p33, 144)
(u613, p33):(u9, p33, 145)
(u882, p33):(u9, p33, 146)
(u67, p33):(u9, p33, 147)
(u847, p33):(u9, p33, 148)
(u18, p33):(u9, p33, 149)
(u11, p39):(u11, p38, 150)
(u927, p39):(u11, p38, 151)
(u927, p38):(u11, p38, 152)
(u11, p38):(-1, -1, 153)
(u12, p43):(u12, p40, 154)
(u12, p52):(u12, p40, 155)
(u12, p51):(u12, p53, 156)
(u12, p49):(u12, p53, 157)
(u778, p62):(u14, p62, 158)
(u801, p62):(u14, p62, 159)
(u778, p63):(u14, p63, 160)
(u801, p63):(u14, p63, 161)
(u778, p67):(u14, p59, 162)
(u801, p60):(u14, p59, 163)
(u778, p64):(u14, p59, 164)
(u778, p66):(u14, p59, 165)
(u14, p67):(u14, p59, 166)
(u801, p61):(u14, p59, 167)
(u801, p67):(u14, p59, 168)
(u801, p59):(u14, p59, 169)
(u14, p64):(u14, p59, 170)
(u778, p65):(u14, p59, 171)
(u778, p58):(u14, p59, 172)
(u14, p66):(u14, p59, 173)
(u801, p64):(u14, p59, 174)
(u14, p58):(u14, p59, 175)
(u14, p65):(u14, p59, 176)
(u14, p63):(u14, p59, 177)
(u801, p66):(u14, p59, 178)
(u801, p58):(u14, p59, 179)
(u778, p61):(u14, p59, 180)
(u801, p65):(u14, p59, 181)
(u778, p57):(u14, p59, 182)
(u778, p60):(u14, p59, 183)
(u14, p62):(u14, p59, 184)
(u14, p61):(u14, p59, 185)
(u14, p57):(u14, p59, 186)
(u14, p60):(u14, p59, 187)
(u801, p57):(u14, p59, 188)
(u778, p59):(u14, p59, 189)
(u14, p59):(-1, -1, 190)
(u16, p63):(u16, p76, 191)
(u16, p62):(u16, p67, 192)
(u770, p80):(u18, p80, 193)
(u326, p80):(u18, p80, 194)
(u549, p80):(u18, p80, 195)
(u24, p80):(u18, p80, 196)
(u882, p80):(u18, p80, 197)
(u734, p80):(u18, p80, 198)
(u549, p81):(u18, p81, 199)
(u24, p81):(u18, p81, 200)
(u882, p81):(u18, p81, 201)
(u734, p81):(u18, p81, 202)
(u770, p81):(u18, p81, 203)
(u326, p81):(u18, p81, 204)
(u19, p83):(u19, p82, 205)
(u21, p89):(u21, p90, 206)
(u55, p88):(u21, p90, 207)
(u1017, p89):(u21, p90, 208)
(u55, p89):(u21, p90, 209)
(u1017, p90):(u21, p90, 210)
(u21, p88):(u21, p90, 211)
(u1017, p88):(u21, p90, 212)
(u55, p90):(u21, p90, 213)
(u21, p90):(-1, -1, 214)
(u27, p43):(u27, p52, 215)
(u27, p52):(u27, p40, 216)
(u28, p112):(u28, p113, 217)
(u678, p117):(u29, p117, 218)
(u1105, p117):(u29, p117, 219)
